iter	Passed	Remaining
0	131	131063
1	131	65825
2	132	44005
3	132	33086
4	133	26536
5	133	22167
6	134	19050
7	134	16711
8	135	14893
9	135	13436
10	136	12246
11	136	11254
12	137	10415
13	137	9696
14	138	9073
15	138	8526
16	139	8044
17	139	7615
18	140	7231
19	140	6886
20	141	6574
21	141	6289
22	141	6030
23	142	5791
24	142	5571
25	143	5369
26	143	5183
27	144	5015
28	145	4855
29	145	4704
30	146	4563
31	146	4431
32	146	4306
33	147	4189
34	147	4078
35	148	3973
36	148	3875
37	149	3781
38	149	3692
39	150	3607
40	150	3527
41	151	3450
42	151	3377
43	152	3307
44	152	3240
45	153	3176
46	153	3115
47	154	3056
48	154	3000
49	155	2947
50	155	2896
51	156	2846
52	156	2797
53	157	2751
54	157	2706
55	158	2663
56	158	2624
57	159	2585
58	159	2547
59	160	2510
60	160	2475
61	161	2440
62	161	2406
63	162	2373
64	162	2342
65	163	2311
66	163	2281
67	164	2251
68	164	2223
69	165	2196
70	165	2170
71	166	2145
72	166	2120
73	167	2095
74	167	2071
75	168	2048
76	168	2025
77	169	2003
78	169	1981
79	170	1960
80	170	1939
81	171	1919
82	171	1897
83	172	1878
84	172	1859
85	173	1840
86	173	1824
87	174	1806
88	174	1790
89	175	1773
90	175	1756
91	176	1739
92	176	1723
93	177	1708
94	177	1692
95	178	1677
96	178	1662
97	179	1648
98	179	1633
99	179	1619
100	180	1605
101	180	1592
102	181	1579
103	181	1566
104	182	1553
105	182	1541
106	183	1529
107	183	1517
108	184	1505
109	184	1493
110	185	1482
111	185	1471
112	185	1459
113	186	1449
114	186	1438
115	187	1427
116	187	1416
117	188	1406
118	188	1396
119	189	1387
120	189	1378
121	190	1368
122	190	1360
123	191	1350
124	191	1341
125	192	1333
126	192	1323
127	193	1314
128	193	1306
129	193	1298
130	194	1289
131	194	1281
132	195	1273
133	195	1265
134	196	1257
135	196	1249
136	197	1242
137	197	1234
138	198	1227
139	198	1219
140	199	1212
141	199	1204
142	199	1197
143	200	1190
144	200	1183
145	201	1176
146	201	1169
147	202	1163
148	202	1156
149	203	1152
150	203	1145
151	204	1139
152	204	1133
153	205	1127
154	205	1121
155	206	1115
156	206	1109
157	207	1103
158	207	1097
159	208	1092
160	208	1085
161	208	1080
162	209	1074
163	209	1069
164	210	1063
165	210	1058
166	211	1053
167	211	1048
168	212	1043
169	212	1038
170	213	1033
171	213	1028
172	213	1022
173	214	1018
174	214	1013
175	215	1008
176	215	1003
177	216	998
178	216	994
179	217	989
180	217	984
181	218	980
182	218	975
183	219	971
184	219	967
185	220	963
186	220	958
187	220	954
188	221	950
189	221	945
190	222	941
191	222	937
192	223	933
193	223	929
194	224	925
195	224	921
196	224	917
197	225	913
198	225	909
199	226	905
200	226	901
201	227	897
202	227	894
203	228	890
204	228	886
205	229	883
206	229	879
207	229	875
208	230	872
209	230	868
210	231	865
211	231	861
212	232	858
213	232	854
214	233	851
215	233	848
216	234	845
217	234	842
218	235	838
219	235	835
220	236	832
221	236	829
222	237	825
223	237	822
224	237	819
225	238	816
226	238	813
227	239	810
228	239	807
229	240	805
230	240	802
231	241	799
232	241	796
233	242	793
234	242	790
235	243	788
236	243	785
237	244	782
238	244	779
239	245	776
240	245	774
241	246	771
242	246	768
243	247	766
244	247	763
245	248	761
246	248	758
247	249	756
248	249	753
249	250	751
250	250	748
251	251	746
252	251	743
253	252	741
254	252	738
255	253	736
256	253	733
257	254	731
258	254	729
259	255	726
260	255	724
261	256	722
262	256	719
263	257	717
264	257	715
265	258	712
266	258	710
267	259	708
268	259	706
269	260	703
270	260	701
271	261	699
272	261	697
273	262	694
274	262	692
275	263	690
276	263	688
277	264	686
278	264	684
279	265	682
280	265	679
281	266	677
282	266	675
283	267	673
284	267	671
285	268	669
286	268	667
287	268	665
288	269	662
289	269	660
290	270	658
291	270	656
292	271	654
293	271	652
294	272	650
295	272	648
296	273	646
297	273	644
298	274	642
299	274	640
300	275	638
301	275	636
302	276	634
303	276	632
304	276	631
305	277	629
306	278	627
307	278	625
308	279	623
309	279	622
310	279	620
311	280	618
312	280	616
313	281	614
314	281	612
315	282	611
316	282	609
317	283	607
318	283	605
319	284	603
320	284	602
321	285	600
322	285	598
323	286	596
324	286	595
325	287	593
326	287	591
327	287	589
328	288	588
329	288	586
330	289	584
331	289	583
332	290	581
333	290	579
334	291	578
335	291	576
336	292	574
337	292	573
338	293	571
339	293	569
340	294	568
341	294	566
342	295	565
343	295	563
344	295	561
345	296	560
346	296	558
347	297	557
348	297	555
349	298	553
350	298	552
351	299	550
352	299	549
353	300	547
354	300	546
355	301	544
356	301	543
357	301	541
358	302	540
359	302	538
360	303	537
361	303	535
362	304	534
363	304	532
364	305	531
365	305	529
366	306	528
367	306	526
368	307	525
369	307	524
370	308	522
371	308	521
372	309	520
373	309	518
